Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Unnamed,"6. Cambodia > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/117781608/unnamed,2.0,-1,Sport,5.11a,1,50,38.13843,-80.90748
Skintimate,"5. Fourth Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/123310940/skintimate,2.0,-1,Sport,5.11c,1,50,38.14527,-80.90998
"Imagination Dehydrated","0. Zero Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108903953/imagination-dehydrated,1.6,-1,Sport,5.11b,1,60,38.14399,-80.92018
"Rrugë Të Pista","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/118786800/rruge-te-pista,1.7,-1,Sport,5.10c,1,35,38.14336,-80.91556
Antofil,"4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/119789030/antofil,1.3,-1,Sport,5.11,1,55,38.14336,-80.91556
Telexpress,"4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/111697170/telexpress,1.3,-1,Sport,5.10c/d,1,35,38.14336,-80.91556
"Butt Flapper","6. Cambodia > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/111870289/butt-flapper,1.5,-1,Sport,5.8,1,50,38.13843,-80.90748
Pondel,"4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112813795/pondel,1.3,-1,Trad,5.8,1,60,38.14336,-80.91556
Unnamed,"4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/111148373/unnamed,1.2,-1,Sport,5.10b,1,50,38.14336,-80.91556
Tripwire,"6. Cambodia > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/111870314/tripwire,1.0,-1,Sport,5.10d,1,40,38.13843,-80.90748
"Did I Mention It's Huge?","2. Shaved Box Canyon > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/114216229/did-i-mention-its-huge,1.0,-1,Trad,5.7,1,40,38.14324,-80.91788
"Bring Your Nuts","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112297625/bring-your-nuts,0.0,-1,Trad,"5.10a/b PG13",1,75,38.14336,-80.91556
