Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Corner Pocket","6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/113491057/corner-pocket,1.7,-1,Trad,5.9,1,100,37.7165,-119.6363
"Scattered Youth","L.  The Chapel Wall > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/112261931/scattered-youth,1.7,-1,"Trad, TR",5.11d,1,50,37.738,-119.59215
Ennui,"6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107796809/ennui,1.7,-1,Trad,"5.11a PG13",1,70,37.7165,-119.6363
"Tilted Mitten, Right Side","N. Sentinel Creek Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106617435/tilted-mitten-right-side,1.5,-1,Trad,5.8,2,150,37.72639,-119.60144
"Northwest Face","3. Higher Cathedral Spire > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107948994/northwest-face,1.5,-1,"Trad, Aid","5.8 A3+ PG13",11,1200,37.71404,-119.63226
"Desperate for Doughnuts","6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107796804/desperate-for-doughnuts,1.5,-1,Trad,5.8+,1,70,37.7165,-119.6363
"An Udder Way","3. The Grack Area > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/119533535/an-udder-way,1.5,-1,Trad,"5.10a R",2,,37.72993,-119.56355
"Last of the Mohicans","Mecca > 7. Lower Cathedral Area > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/118037273/last-of-the-mohicans,1.5,-1,Sport,5.11d,1,80,37.71932,-119.64339
"North By Northwest","Lower Cathedral Rock > 7. Lower Cathedral Area > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/122647485/north-by-northwest,1.5,-1,Trad,5.9,1,100,37.71843,-119.64659
"Chockblock Chimney","L.  The Chapel Wall > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107470773/chockblock-chimney,1.5,-1,Trad,5.8,3,,37.738,-119.59215
"Wishing Well","Lower Tier > K.  Public Sanitation Wall > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/112011472/wishing-well,1.5,-1,Sport,5.11a,1,30,37.73908,-119.58843
"The Princess","The Watchtower > Leaning Tower Base Routes > Q. Leaning Tower Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107649137/the-princess,1.5,-1,Trad,5.9,1,60,37.71516,-119.64875
"Megaforce (aka Magnum Force)","The Watchtower > Leaning Tower Base Routes > Q. Leaning Tower Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107649128/megaforce-aka-magnum-force,1.5,-1,Trad,"5.11a R",1,150,37.71516,-119.64875
"Shuttle Madness","2. Strange Energy Area > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/119037186/shuttle-madness,1.3,-1,"Sport, TR",5.9,1,80,37.72983,-119.56355
Meccaphobia,"Mecca > 7. Lower Cathedral Area > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/109623348/meccaphobia,1.3,-1,Sport,5.11b,1,95,37.71932,-119.64339
"Sanitary Engineer","Upper Tier > K.  Public Sanitation Wall > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/111964765/sanitary-engineer,1.3,-1,Trad,5.10c,1,85,37.73908,-119.58843
Monogamish,"6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/113661507/monogamish,1.0,-1,Trad,"5.11c/d R",1,130,37.7165,-119.6363
"Psychic Energy","3. The Grack Area > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/119037367/psychic-energy,1.0,-1,"Sport, TR",5.11b,1,50,37.72993,-119.56355
"Solid Waste","Upper Tier > K.  Public Sanitation Wall > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/111964742/solid-waste,1.0,-1,Trad,5.10d,1,80,37.73908,-119.58843
"Kung Pao Chicken","N. Sentinel Creek Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107326260/kung-pao-chicken,1.0,-1,Trad,5.10b,1,90,37.72639,-119.60144
"Tilted Mitten, Left Side","N. Sentinel Creek Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107130132/tilted-mitten-left-side,1.0,-1,Trad,5.9,2,250,37.72639,-119.60144
"Sound and Vision","5. Higher Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/121384367/sound-and-vision,1.0,-1,"Trad, Aid","5.9 A2+",6,600,37.71439,-119.63469
"Sugarloaf Dome - South Face","C.  Little Yosemite Valley > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/117131373/sugarloaf-dome-south-face,1.0,-1,Trad,5.9,10,1400,37.73646,-119.47882
"Pohono Pinnacle- Northwest Corner","N. Sentinel Creek Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/119367942/pohono-pinnacle-northwest-corner,1.0,-1,Trad,5.7,6,1000,37.72639,-119.60144
"Sunshine Buttress","Sunshine Buttress > D. Half Dome > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/122957129/sunshine-buttress,1.0,-1,"Trad, Aid","5.8 A1",1,,37.74059,-119.54668
"The Bear","3. The Grack Area > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/119037345/the-bear,1.0,-1,"Sport, TR",5.10b,1,50,37.72993,-119.56355
"No Butts About It","6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/117701098/no-butts-about-it,1.0,-1,Trad,5.10b,1,80,37.7165,-119.6363
"Hole in One","6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/119292379/hole-in-one,1.0,-1,Trad,5.10c,1,100,37.7165,-119.6363
"Lap Lobster","6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/119292279/lap-lobster,1.0,-1,Trad,5.10b,1,60,37.7165,-119.6363
Home-Boys,"L.  The Chapel Wall > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/112011460/home-boys,1.0,-1,Sport,5.11a,1,50,37.738,-119.59215
"Milk Dud","2. Strange Energy Area > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/119037281/milk-dud,1.0,-1,"Trad, TR",5.10a,1,80,37.72983,-119.56355
"Scorpion Tale","6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/117664049/scorpion-tale,1.0,-1,Trad,"5.9 PG13",1,110,37.7165,-119.6363
"BT Connecion","2. Strange Energy Area > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/119046481/bt-connecion,1.0,-1,Trad,5.10a,1,80,37.72983,-119.56355
"Resisting Arrest","The Wall of Ages > Leaning Tower Base Routes > Q. Leaning Tower Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/112921011/resisting-arrest,1.0,-1,"Trad, Aid","5.9 A3",5,700,37.71608,-119.64729
"King Tut's Tomb","N. Sentinel Creek Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/110430562/king-tuts-tomb,1.0,-1,Trad,5.10+,6,700,37.72639,-119.60144
Tapestry,"6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/109534641/tapestry,1.0,-1,Trad,"5.9 R",1,220,37.7165,-119.6363
Gash,"Lower Cathedral Rock > 7. Lower Cathedral Area > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/110419758/gash,1.0,-1,Trad,5.10b,1,110,37.71843,-119.64659
"Wide Thing","Lower Tier > K.  Public Sanitation Wall > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108948026/wide-thing,1.0,-1,Trad,5.10d,1,100,37.73908,-119.58843
"Blind Man's Bluff","5. Higher Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108408620/blind-mans-bluff,1.0,-1,Trad,5.9,4,700,37.71439,-119.63469
"The Hand Me Down","N. Sentinel Creek Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107130174/the-hand-me-down,1.0,-1,Trad,5.10a,2,200,37.72639,-119.60144
"Regular Route - Direct Start","4. Lower Cathedral Spire > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105915873/regular-route-direct-start,0.6,-1,Trad,5.9,6,600,37.7147,-119.63078
"Camp Four Toilet Stall","Sunshine Buttress > D. Half Dome > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/122956365/camp-four-toilet-stall,0.0,-1,Trad,"5.10a PG13",2,400,37.74059,-119.54668
"Land of Munge and Honey","1. Jericho Wall > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/120606484/land-of-munge-and-honey,0.0,-1,"Trad, Aid","5.8 A3",11,1100,37.72519,-119.56381
"Boulderfield Gorge","N. Sentinel Creek Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/111101033/boulderfield-gorge,0.0,-1,Trad,5.9,9,1000,37.72639,-119.60144
"Wrong Arete","2. Church Tower > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/109099748/wrong-arete,0.0,-1,Trad,"5.7 PG13",7,,37.71495,-119.63026
"Edge of Token","6. GPA - Right Side > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/112200119/edge-of-token,-1.0,-1,Trad,5.10b,4,,37.7337,-119.56956
