Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Good, the Bad, and The Boltless (High Plains Drifter variation)","Pirate's Cove > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107522463/the-good-the-bad-and-the-boltless-high-plains-drifter-variation,3.0,-1,Trad,5.10a/b,1,75,38.2427,-80.8485
"Hang On Little Tomato","Narcissus Cave > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/109588071/hang-on-little-tomato,3.0,-1,Trad,5.8,1,70,38.24193,-80.84067
"As Surely as the Flower Blooms","Pirate's Cove > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/109437933/as-surely-as-the-flower-blooms,3.0,-1,Trad,"5.11a R",1,45,38.2427,-80.8485
"Unnamed 5.10a","Pirate's Cove > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108034563/unnamed-510a,3.0,-1,Trad,5.10,1,90,38.2427,-80.8485
Blackbeard,"Circus Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/123234945/blackbeard,3.0,-1,Sport,5.10c,1,45,38.24291,-80.8361
Zoska,"Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/117735628/zoska,2.5,-1,Sport,5.10b,1,60,38.2422,-80.83949
"The Route of All Evil","DC Memorial Boulder > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/116999898/the-route-of-all-evil,2.6,-1,Sport,5.11b,1,30,38.24156,-80.84428
"Just Say No","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107709746/just-say-no,2.4,-1,Trad,5.9,1,65,38.2422,-80.83949
Fontanero,"Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/117735685/fontanero,2.4,-1,Sport,5.10b,1,60,38.2422,-80.83949
"No Refund","The Satisfaction Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107792710/no-refund,2.1,-1,Sport,5.10d,1,60,38.24161,-80.8422
"On the Porch","The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107829742/on-the-porch,1.6,-1,Sport,5.9,1,35,38.24137,-80.84379
"Gunned but Not Forgotten","Gun Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/119865776/gunned-but-not-forgotten,2.2,-1,Sport,5.10d,1,30,38.2418,-80.84524
"Two Finger Limit","The Satisfaction Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106386768/two-finger-limit,2.0,-1,Sport,5.10a,1,80,38.24161,-80.8422
"Spider Needs a Thesaurus (Dinosaurus Clitoris)","DC Memorial Boulder > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106416034/spider-needs-a-thesaurus-dinosaurus-clitoris,2.4,-1,Sport,5.11d,1,60,38.24156,-80.84428
"Bad Hair Day","The Satisfaction Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107792700/bad-hair-day,2.4,-1,Trad,5.9,1,60,38.24161,-80.8422
"Unnamed, 5.11a","Circus Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106758388/unnamed-511a,2.3,-1,Sport,5.11a,1,50,38.24291,-80.8361
"Retired Monk","The Satisfaction Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/119595668/retired-monk,2.2,-1,Sport,"5.9 PG13",1,55,38.24161,-80.8422
Overboard,"Circus Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106758402/overboard,2.2,-1,Sport,5.11b,1,50,38.24291,-80.8361
Bushman,"Narcissus Cave > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/117788397/bushman,2.2,-1,Trad,5.8,1,50,38.24193,-80.84067
"T. Love","The Satisfaction Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/113456186/t-love,2.0,-1,Sport,5.10a,1,40,38.24161,-80.8422
Piscosouer,"The Satisfaction Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/120364415/piscosouer,1.9,-1,Sport,5.10a,1,60,38.24161,-80.8422
"Rocky Top Hilton","The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107792673/rocky-top-hilton,1.7,-1,Sport,5.10a,1,20,38.24137,-80.84379
"No prey, no pay 5.11b","Circus Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/114372295/no-prey-no-pay-511b,2.0,-1,Sport,5.11a/b,1,40,38.24291,-80.8361
"Hokey Pokey","Narcissus Cave > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/121027320/hokey-pokey,1.8,-1,Sport,5.8,1,60,38.24193,-80.84067
"La La Land","DC Memorial Boulder > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/119482844/la-la-land,2.0,-1,Sport,5.11a,1,50,38.24156,-80.84428
"Dunbar's Number","The Satisfaction Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/119710006/dunbars-number,2.0,-1,Sport,5.10d,1,60,38.24161,-80.8422
"Light at the End of the Tunnel","Circus Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/119659817/light-at-the-end-of-the-tunnel,2.0,-1,Trad,"5.10- PG13",1,60,38.24291,-80.8361
"The Faster","Circus Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106449486/the-faster,2.0,-1,Trad,5.10-,1,,38.24291,-80.8361
Bombardino,"The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/119107567/bombardino,1.7,-1,Sport,5.11d,1,40,38.24137,-80.84379
"Snub Nose","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/110919548/snub-nose,1.5,-1,Sport,5.11,1,30,38.2422,-80.83949
"Hundra Scundra","The Satisfaction Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107791064/hundra-scundra,1.5,-1,Trad,5.10b,1,60,38.24161,-80.8422
Unknown,"Pirate's Cove > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106386724/unknown,1.3,-1,Trad,5.9,1,50,38.2427,-80.8485
"Quarryman's Hands","The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112889261/quarrymans-hands,1.0,-1,Sport,5.11c,1,50,38.24137,-80.84379
